user_id,try_count,get_count
0x75827392D8FE06633DC1C53325BD0369,76,0
0xEB12C722888FDD4541C89744F480CFB3,462,11
0x116F409ECD771DD61A42F88206EF1473,160,2
0x119ED029B611E788A3D324EC2E727DD2,160,2
0x25160F9C44EC04740A1125BD82734DE2,159,2
0x80EA881E3386D8224DBED00BE86ED8CB,159,2
0xE0611BEDABA6D2DD822C72FEC3A2DF6F,231,4
0x002F7A88A8CE01E67412682AD121FFDF,231,4
0x514D9FF74DD2A7914A5D9DBC6635B224,231,4
0x876B5CC10587D2F5EEA14024769D5AF3,231,4
0xCE5D40AFE8DD572E328ABB3BD11BC719,119,1
0x86610729ED6DBB4A2F0159DC5FE622C5,74,0
0xFBC8223DC461B4B90B88EC0E2CBC016F,74,0
0x58E18E353E55158DBB2E68DEE30FAD17,118,1
0x0816C9EA5650341A3B13C54AD68349B0,264,5
0x6E4CFA033E250DACE2D8B074EEA76EDD,264,5
0xECE98876F6AD0A14A5A386D31F9D04FF,73,0
0x3A97F3A6D0F018F8736C5A2EA7A2BF8F,157,2
0x74367EAF216A0DCF7C94D125D5CAC739,156,2
0xDD506D84C003A54DBF4CBA1E50D924AD,156,2
0xA184709912DAB997CA2544C9066CC91B,72,0
0xA8BDAF3A9A8A7500D24FEB7C201BADD9,72,0
0xB51F395679E90B727DD93AA91704B5C8,72,0
0x0471E86AA04985B191BFB221E53F220F,116,1
0x6CD2692CB07D2FEE67C0275D5F279334,116,1
0xA1F59B5769784226D2B6EE12C701B4E4,155,2
0x307B620AF8A8A069684BF0A4D4882B69,155,2
0xAE21D3FFF8284B658C845DAB6325E5A2,155,2
0x22F7B1878029D690E4A49ECEC6C76525,71,0
0xB9614CB7722794A16E8985C6D3C12FCA,71,0
0xA5104154250A9790D685E0F81E5E4C5D,71,0
0xCBBE733CB2CDFEB845E3F245A5085464,71,0
0x11A120876007FCFBCC8F7FC79C7D2AFB,154,2
0xD27DB29CDD9B767D2FAD13503AF3CE49,154,2
0xBD02F2D86CED5F70590CF2013CDA0561,154,2
0x3CEDCCF0B0B1E64A25B3D87EBAA90049,154,2
0xB505476A3E0A078FD27FBEF1964CBD69,154,2
0x23AACC2962E62C4C9FED292E52BE5934,154,2
0xFD7340DC7E777FFB853FB1298F727F25,154,2
0xCECB88F0C00D911172CFD4E53F291B0D,154,2
0x1632B48A38D726A74C27C250A90A5A32,154,2
0xA3F2E0311185CDF1CA6EB86774BB8CC2,154,2
0x3E69CFF6A05CA0AF4E4EBA884ACA39FF,154,2
0xE69FB076BC7DDE693D142E31D6FA2440,154,2
0x67D49BF9B7D6BC5CCC5169EEE34F8303,154,2
0xE0331AE58A76113F051323DC26889B81,154,2
0x39D3E24A6E340FCF6E60AFCA90A60374,70,0
0x0E2BF3DCE431F17B751B706A6FE153E7,70,0
0xB9D4D81A4C78991F8EA16CB70772CE47,114,1
0xC8EDFBDA02CE2E5BE107ABC02A0FC4D9,114,1
0x292BD0C2204303BFEE3089518ED3A6C0,153,2
0xBC88419DB4014DB44381A6121137C6FE,69,0
0x4F51AC0ED3DA4A2F784D53E3CB0AB1A9,69,0
0x3194CD32708773BF4A61EAFE05FB9BE2,69,0
0x9E780BA94A9D8500A227721C9CEC0822,69,0
0xA643A2641C696D5A44BF2693420C81D1,69,0
0x6A5951B1BE1280BCC0541B24A5EA59B1,69,0
0x2E0C0ABF9BBEE8FF24441FF63670607C,258,5
0xB49D792A377B50B83663D791C31401EF,68,0
0xB226E8AEA5EB5CA39B1DC1879FDF506A,68,0
0xA6CD55FD510CE065ECA923C8B043711F,68,0
0x0D24D22DB396F52B53518AA7905B80F3,188,3
0x2630714F5F561CAB875838A118557D69,188,3
0x66567389B76638D9B6A9FF60D965EB00,112,1
0x06DDCFF7671166E378244DA15D0E371F,187,3
0x56811861969C7C7B21A8F4029F36E429,187,3
0x5CAFC24B7FBCB41FF82684F8932F3415,187,3
0x0CC791CBCEDE96F3BFDE834530623E8D,187,3
0x7ABD11A6D3224F89C035BA5A16E2F0FB,187,3
0x0B4985180BC03175A7D3E228F614DEA5,187,3
0x35580895B1C5BEF4FA2CFEF9E69D70A9,187,3
0xAE4ECB62A568681815FE723E6B1E0C9A,187,3
0x9EB0D320439649247E38115FA27BF937,187,3
0x6E735AAF232AB7E04244C496BA9A24E5,187,3
0xA48C69A1C8B8B5C93931364903AF693A,187,3
0x96890A91885E0E99AA393867C5EF135E,67,0
